id,first_name,last_name,shoe size,height in inches,???
1,Brig,Messier,10,51,0
2,Ted,Bartos,14,47,0
3,Crystie,Krysztofiak,10,51,0
4,Care,Jemmett,9,80,0
5,Aurore,Simioli,13,47,0
6,Park,Lucks,12,63,0
7,Efren,Wittke,8,81,0
8,Zacharias,Venneur,9,42,0
9,Monroe,Pammenter,9,60,0
10,Guillaume,French,13,49,0
11,Juliette,O'Ruane,13,36,0
12,Barrie,Memory,9,39,0
13,Zolly,Alexandre,8,49,0
14,Elonore,Nockles,13,55,0
15,Felipe,Justham,14,55,0
16,Etty,Aingel,11,54,0
17,Brit,Scneider,9,43,0
18,Hilda,Agdahl,14,38,0
19,Leanna,Giral,14,53,0
20,Kelbee,Petersen,9,75,0
21,Cornell,Milberry,14,36,0
22,Franciska,Haggar,9,79,0
23,Lydie,Ricart,13,38,0
24,Marietta,Grimsdith,8,54,0
25,Bathsheba,Frankham,13,55,0
26,Dermot,Cuppleditch,14,57,0
27,Wolf,Stoffers,8,39,0
28,Selig,Frankema,14,70,0
29,Crawford,MacManus,12,84,0
30,Stella,Hunter,10,48,0
